2023-10-16T18:14:11+00:00 CRITICAL Array and string offset access syntax with curly braces is no longer supported, em /home/vol2_8/infinityfree.com/if0_35036614/htdocs/wp-content/plugins/wp-unit/WPUnit.php, na linha 89

2023-10-16T18:14:21+00:00 CRITICAL Array and string offset access syntax with curly braces is no longer supported, em /home/vol2_8/infinityfree.com/if0_35036614/htdocs/wp-content/plugins/wp-unit/WPUnit.php, na linha 89

2023-10-16T18:14:22+00:00 CRITICAL Array and string offset access syntax with curly braces is no longer supported, em /home/vol2_8/infinityfree.com/if0_35036614/htdocs/wp-content/plugins/wp-unit/WPUnit.php, na linha 89

2023-10-16T18:14:26+00:00 CRITICAL Array and string offset access syntax with curly braces is no longer supported, em /home/vol2_8/infinityfree.com/if0_35036614/htdocs/wp-content/plugins/wp-unit/WPUnit.php, na linha 89

2023-10-16T18:14:39+00:00 CRITICAL Array and string offset access syntax with curly braces is no longer supported, em /home/vol2_8/infinityfree.com/if0_35036614/htdocs/wp-content/plugins/wp-unit/WPUnit.php, na linha 89

2023-10-16T18:14:40+00:00 CRITICAL Array and string offset access syntax with curly braces is no longer supported, em /home/vol2_8/infinityfree.com/if0_35036614/htdocs/wp-content/plugins/wp-unit/WPUnit.php, na linha 89

2023-10-16T18:17:46+00:00 CRITICAL Array and string offset access syntax with curly braces is no longer supported, em /home/vol2_8/infinityfree.com/if0_35036614/htdocs/wp-content/plugins/wp-unit/WPUnit.php, na linha 89

2023-10-16T18:17:55+00:00 CRITICAL Array and string offset access syntax with curly braces is no longer supported, em /home/vol2_8/infinityfree.com/if0_35036614/htdocs/wp-content/plugins/wp-unit/WPUnit.php, na linha 89

2023-10-16T18:17:55+00:00 CRITICAL Array and string offset access syntax with curly braces is no longer supported, em /home/vol2_8/infinityfree.com/if0_35036614/htdocs/wp-content/plugins/wp-unit/WPUnit.php, na linha 89

